instance,timestamp,value
10.100.254.154:9100,1716813675.515,3.995866804439917
10.100.254.154:9100,1716813676.515,3.995866804439917
10.100.254.154:9100,1716813677.515,3.995866804439917
10.100.254.154:9100,1716813678.515,3.995866804439917
10.100.254.154:9100,1716813679.515,3.995866804439917
10.100.254.154:9100,1716813680.515,3.995866804439917
10.100.254.154:9100,1716813681.515,3.995866804439917
10.100.254.154:9100,1716813682.515,3.995866804439917
10.100.254.154:9100,1716813683.515,3.995866804439917
10.100.254.154:9100,1716813684.515,3.995866804439917
10.100.254.154:9100,1716813685.515,3.995866804439917
10.100.254.154:9100,1716813686.515,3.995866804439917
10.100.254.154:9100,1716813687.515,3.995866804439917
10.100.254.154:9100,1716813688.515,3.995866804439917
10.100.254.154:9100,1716813689.515,3.995866804439917
10.100.254.154:9100,1716813690.515,3.995866804439917
10.100.254.154:9100,1716813691.515,3.995866804439917
10.100.254.154:9100,1716813692.515,3.995866804439917
10.100.254.154:9100,1716813693.515,3.995866804439917
10.100.254.154:9100,1716813694.515,3.995866804439917
10.100.254.154:9100,1716813695.515,3.995866804439917
10.100.254.154:9100,1716813696.515,3.9851328377611765
10.100.254.154:9100,1716813697.515,3.9851328377611765
10.100.254.154:9100,1716813698.515,3.9851328377611765
10.100.254.154:9100,1716813699.515,3.9851328377611765
10.100.254.154:9100,1716813700.515,3.9851328377611765
10.100.254.154:9100,1716813701.515,3.9851328377611765
10.100.254.154:9100,1716813702.515,3.9851328377611765
10.100.254.154:9100,1716813703.515,3.9851328377611765
10.100.254.154:9100,1716813704.515,3.9851328377611765
10.100.254.154:9100,1716813705.515,3.9851328377611765
10.100.254.154:9100,1716813706.515,3.9851328377611765
10.100.254.154:9100,1716813707.515,3.9851328377611765
10.100.254.154:9100,1716813708.515,3.9851328377611765
10.100.254.154:9100,1716813709.515,3.9851328377611765
10.100.254.154:9100,1716813710.515,3.9851328377611765
10.100.254.154:9100,1716813711.515,3.9851328377611765
10.100.254.154:9100,1716813712.515,3.9851328377611765
10.100.254.154:9100,1716813713.515,3.9851328377611765
10.100.254.154:9100,1716813714.515,3.9851328377611765
10.100.254.154:9100,1716813715.515,3.9851328377611765
10.100.254.154:9100,1716813716.515,3.9851328377611765
10.100.254.154:9100,1716813717.515,3.9851328377611765
10.100.254.154:9100,1716813718.515,3.9851328377611765
10.100.254.154:9100,1716813719.515,3.9851328377611765
10.100.254.154:9100,1716813720.515,3.9851328377611765
10.100.254.154:9100,1716813721.515,3.9851328377611765
10.100.254.154:9100,1716813722.515,3.9851328377611765
10.100.254.154:9100,1716813723.515,3.9851328377611765
10.100.254.154:9100,1716813724.515,3.9851328377611765
10.100.254.154:9100,1716813725.515,3.9851328377611765
10.100.254.154:9100,1716813726.515,3.9993999399940043
10.100.254.154:9100,1716813727.515,3.9993999399940043
10.100.254.154:9100,1716813728.515,3.9993999399940043
10.100.254.154:9100,1716813729.515,3.9993999399940043
10.100.254.154:9100,1716813730.515,3.9993999399940043
10.100.254.154:9100,1716813731.515,3.9993999399940043
10.100.254.154:9100,1716813732.515,3.9993999399940043
10.100.254.154:9100,1716813733.515,3.9993999399940043
10.100.254.154:9100,1716813734.515,3.9993999399940043
10.100.254.154:9100,1716813735.515,3.9993999399940043
10.100.254.154:9100,1716813736.515,3.9993999399940043
10.100.254.154:9100,1716813737.515,3.9993999399940043
10.100.254.154:9100,1716813738.515,3.9993999399940043
10.100.254.154:9100,1716813739.515,3.9993999399940043
10.100.254.154:9100,1716813740.515,3.9993999399940043
10.100.254.154:9100,1716813741.515,3.9993999399940043
10.100.254.154:9100,1716813742.515,3.9993999399940043
10.100.254.154:9100,1716813743.515,3.9993999399940043
10.100.254.154:9100,1716813744.515,3.9993999399940043
10.100.254.154:9100,1716813745.515,3.9993999399940043
10.100.254.154:9100,1716813746.515,3.9993999399940043
10.100.254.154:9100,1716813747.515,3.9993999399940043
10.100.255.132:9100,1716813447.515,3.9961332044401088
10.100.255.132:9100,1716813448.515,3.9961332044401088
10.100.255.132:9100,1716813449.515,3.9961332044401088
10.100.255.132:9100,1716813450.515,3.9961332044401088
10.100.255.132:9100,1716813451.515,3.9961332044401088
10.100.255.132:9100,1716813452.515,3.9961332044401088
10.100.255.132:9100,1716813453.515,3.9961332044401088
10.100.255.132:9100,1716813454.515,3.9961332044401088
10.100.255.132:9100,1716813455.515,3.9961332044401088
10.100.255.132:9100,1716813456.515,3.9961332044401088
10.100.255.132:9100,1716813457.515,3.9961332044401088
10.100.255.132:9100,1716813458.515,3.9961332044401088
10.100.255.132:9100,1716813459.515,3.9961332044401088
10.100.255.132:9100,1716813460.515,3.9961332044401088
10.100.255.132:9100,1716813461.515,3.9961332044401088
10.100.255.132:9100,1716813462.515,3.9961332044401088
10.100.255.132:9100,1716813463.515,3.9961332044401088
10.100.255.132:9100,1716813464.515,3.9961332044401088
10.100.255.132:9100,1716813465.515,3.9961332044401088
10.100.255.132:9100,1716813466.515,3.9855338155394975
10.100.255.132:9100,1716813467.515,3.9855338155394975
10.100.255.132:9100,1716813468.515,3.9855338155394975
10.100.255.132:9100,1716813469.515,3.9855338155394975
10.100.255.132:9100,1716813470.515,3.9855338155394975
10.100.255.132:9100,1716813471.515,3.9855338155394975
10.100.255.132:9100,1716813472.515,3.9855338155394975
10.100.255.132:9100,1716813473.515,3.9855338155394975
10.100.255.132:9100,1716813474.515,3.9855338155394975
10.100.255.132:9100,1716813475.515,3.9855338155394975
10.100.255.132:9100,1716813476.515,3.9855338155394975
10.100.255.132:9100,1716813477.515,3.9855338155394975
10.100.255.132:9100,1716813478.515,3.9855338155394975
10.100.255.132:9100,1716813479.515,3.9855338155394975
10.100.255.132:9100,1716813480.515,3.9855338155394975
10.100.255.132:9100,1716813481.515,3.9855338155394975
10.100.255.132:9100,1716813482.515,3.9855338155394975
10.100.255.132:9100,1716813483.515,3.9855338155394975
10.100.255.132:9100,1716813484.515,3.9855338155394975
10.100.255.132:9100,1716813485.515,3.9855338155394975
10.100.255.132:9100,1716813486.515,3.9855338155394975
10.100.255.132:9100,1716813487.515,3.9855338155394975
10.100.255.132:9100,1716813488.515,3.9855338155394975
10.100.255.132:9100,1716813489.515,3.9855338155394975
10.100.255.132:9100,1716813490.515,3.9855338155394975
10.100.255.132:9100,1716813491.515,3.9855338155394975
10.100.255.132:9100,1716813492.515,3.9855338155394975
10.100.255.132:9100,1716813493.515,3.9855338155394975
10.100.255.132:9100,1716813494.515,3.9855338155394975
10.100.255.132:9100,1716813495.515,3.9855338155394975
10.100.255.132:9100,1716813496.515,3.988466282209437
10.100.255.132:9100,1716813497.515,3.988466282209437
10.100.255.132:9100,1716813498.515,3.988466282209437
10.100.255.132:9100,1716813499.515,3.988466282209437
10.100.255.132:9100,1716813500.515,3.988466282209437
10.100.255.132:9100,1716813501.515,3.988466282209437
10.100.255.132:9100,1716813502.515,3.988466282209437
10.100.255.132:9100,1716813503.515,3.988466282209437
10.100.255.132:9100,1716813504.515,3.988466282209437
10.100.255.132:9100,1716813505.515,3.988466282209437
10.100.255.132:9100,1716813506.515,3.988466282209437
10.100.255.132:9100,1716813507.515,3.988466282209437
10.100.255.132:9100,1716813508.515,3.988466282209437
10.100.255.132:9100,1716813509.515,3.988466282209437
10.100.255.132:9100,1716813510.515,3.988466282209437
10.100.255.132:9100,1716813511.515,3.988466282209437
10.100.255.132:9100,1716813512.515,3.988466282209437
10.100.255.132:9100,1716813513.515,3.988466282209437
10.100.255.132:9100,1716813514.515,3.988466282209437
10.100.255.132:9100,1716813515.515,3.988466282209437
10.100.255.132:9100,1716813516.515,3.988466282209437
10.100.255.132:9100,1716813517.515,3.988466282209437
10.100.255.132:9100,1716813518.515,3.988466282209437
10.100.255.132:9100,1716813519.515,3.988466282209437
10.100.255.132:9100,1716813520.515,3.988466282209437
10.100.255.132:9100,1716813521.515,3.988466282209437
10.100.255.132:9100,1716813522.515,3.988466282209437
10.100.255.132:9100,1716813523.515,3.988466282209437
10.100.255.132:9100,1716813524.515,3.988466282209437
10.100.255.132:9100,1716813525.515,3.988466282209437
10.100.255.132:9100,1716813526.515,3.9941341154512497
10.100.255.132:9100,1716813527.515,3.9941341154512497
10.100.255.132:9100,1716813528.515,3.9941341154512497
10.100.255.132:9100,1716813529.515,3.9941341154512497
10.100.255.132:9100,1716813530.515,3.9941341154512497
10.100.255.132:9100,1716813531.515,3.9941341154512497
10.100.255.132:9100,1716813532.515,3.9941341154512497
10.100.255.132:9100,1716813533.515,3.9941341154512497
10.100.255.132:9100,1716813534.515,3.9941341154512497
10.100.255.132:9100,1716813535.515,3.9941341154512497
10.100.255.132:9100,1716813536.515,3.9941341154512497
10.100.255.132:9100,1716813537.515,3.9941341154512497
10.100.255.132:9100,1716813538.515,3.9941341154512497
10.100.255.132:9100,1716813539.515,3.9941341154512497
10.100.255.132:9100,1716813540.515,3.9941341154512497
10.100.255.132:9100,1716813541.515,3.9941341154512497
10.100.255.132:9100,1716813542.515,3.9941341154512497
10.100.255.132:9100,1716813543.515,3.9941341154512497
10.100.255.132:9100,1716813544.515,3.9941341154512497
10.100.255.132:9100,1716813545.515,3.9941341154512497
10.100.255.132:9100,1716813546.515,3.9941341154512497
10.100.255.132:9100,1716813547.515,3.9941341154512497
10.100.255.132:9100,1716813548.515,3.9941341154512497
10.100.255.132:9100,1716813549.515,3.9941341154512497
10.100.255.132:9100,1716813550.515,3.9941341154512497
10.100.255.132:9100,1716813551.515,3.9941341154512497
10.100.255.132:9100,1716813552.515,3.9941341154512497
10.100.255.132:9100,1716813553.515,3.9941341154512497
10.100.255.132:9100,1716813554.515,3.9941341154512497
10.100.255.132:9100,1716813555.515,3.9941341154512497
10.100.255.132:9100,1716813556.515,3.979197226296869
10.100.255.132:9100,1716813557.515,3.979197226296869
10.100.255.132:9100,1716813558.515,3.979197226296869
10.100.255.132:9100,1716813559.515,3.979197226296869
10.100.255.132:9100,1716813560.515,3.979197226296869
10.100.255.132:9100,1716813561.515,3.979197226296869
10.100.255.132:9100,1716813562.515,3.979197226296869
10.100.255.132:9100,1716813563.515,3.979197226296869
10.100.255.132:9100,1716813564.515,3.979197226296869
10.100.255.132:9100,1716813565.515,3.979197226296869
10.100.255.132:9100,1716813566.515,3.979197226296869
10.100.255.132:9100,1716813567.515,3.979197226296869
10.100.255.132:9100,1716813568.515,3.979197226296869
10.100.255.132:9100,1716813569.515,3.979197226296869
10.100.255.132:9100,1716813570.515,3.979197226296869
10.100.255.132:9100,1716813571.515,3.979197226296869
10.100.255.132:9100,1716813572.515,3.979197226296869
10.100.255.132:9100,1716813573.515,3.979197226296869
10.100.255.132:9100,1716813574.515,3.979197226296869
10.100.255.132:9100,1716813575.515,3.979197226296869
10.100.255.132:9100,1716813576.515,3.979197226296869
10.100.255.132:9100,1716813577.515,3.979197226296869
10.100.255.132:9100,1716813578.515,3.979197226296869
10.100.255.132:9100,1716813579.515,3.979197226296869
10.100.255.132:9100,1716813580.515,3.979197226296869
10.100.255.132:9100,1716813581.515,3.979197226296869
10.100.255.132:9100,1716813582.515,3.979197226296869
10.100.255.132:9100,1716813583.515,3.979197226296869
10.100.255.132:9100,1716813584.515,3.979197226296869
10.100.255.132:9100,1716813585.515,3.979197226296869
10.100.255.132:9100,1716813586.515,3.9889999999999826
10.100.255.132:9100,1716813587.515,3.9889999999999826
10.100.255.132:9100,1716813588.515,3.9889999999999826
10.100.255.132:9100,1716813589.515,3.9889999999999826
10.100.255.132:9100,1716813590.515,3.9889999999999826
10.100.255.132:9100,1716813591.515,3.9889999999999826
10.100.255.132:9100,1716813592.515,3.9889999999999826
10.100.255.132:9100,1716813593.515,3.9889999999999826
10.100.255.132:9100,1716813594.515,3.9889999999999826
10.100.255.132:9100,1716813595.515,3.9889999999999826
10.100.255.132:9100,1716813596.515,3.9889999999999826
10.100.255.132:9100,1716813597.515,3.9889999999999826
10.100.255.132:9100,1716813598.515,3.9889999999999826
10.100.255.132:9100,1716813599.515,3.9889999999999826
10.100.255.132:9100,1716813600.515,3.9889999999999826
10.100.255.132:9100,1716813601.515,3.9889999999999826
10.100.255.132:9100,1716813602.515,3.9889999999999826
10.100.255.132:9100,1716813603.515,3.9889999999999826
10.100.255.132:9100,1716813604.515,3.9889999999999826
10.100.255.132:9100,1716813605.515,3.9889999999999826
10.100.255.132:9100,1716813606.515,3.9889999999999826
10.100.255.132:9100,1716813607.515,3.9889999999999826
10.100.255.132:9100,1716813608.515,3.9889999999999826
10.100.255.132:9100,1716813609.515,3.9889999999999826
10.100.255.132:9100,1716813610.515,3.9889999999999826
10.100.255.132:9100,1716813611.515,3.9889999999999826
10.100.255.132:9100,1716813612.515,3.9889999999999826
10.100.255.132:9100,1716813613.515,3.9889999999999826
10.100.255.132:9100,1716813614.515,3.9889999999999826
10.100.255.132:9100,1716813615.515,3.9889999999999826
10.100.255.132:9100,1716813616.515,3.98913478202898
10.100.255.132:9100,1716813617.515,3.98913478202898
10.100.255.132:9100,1716813618.515,3.98913478202898
10.100.255.132:9100,1716813619.515,3.98913478202898
10.100.255.132:9100,1716813620.515,3.98913478202898
10.100.255.132:9100,1716813621.515,3.98913478202898
10.100.255.132:9100,1716813622.515,3.98913478202898
10.100.255.132:9100,1716813623.515,3.98913478202898
10.100.255.132:9100,1716813624.515,3.98913478202898
10.100.255.132:9100,1716813625.515,3.98913478202898
10.100.255.132:9100,1716813626.515,3.98913478202898
10.100.255.132:9100,1716813627.515,3.98913478202898
10.100.255.132:9100,1716813628.515,3.98913478202898
10.100.255.132:9100,1716813629.515,3.98913478202898
10.100.255.132:9100,1716813630.515,3.98913478202898
10.100.255.132:9100,1716813631.515,3.98913478202898
10.100.255.132:9100,1716813632.515,3.98913478202898
10.100.255.132:9100,1716813633.515,3.98913478202898
10.100.255.132:9100,1716813634.515,3.98913478202898
10.100.255.132:9100,1716813635.515,3.98913478202898
10.100.255.132:9100,1716813636.515,3.98913478202898
10.100.255.132:9100,1716813637.515,3.98913478202898
10.100.255.132:9100,1716813638.515,3.98913478202898
10.100.255.132:9100,1716813639.515,3.98913478202898
10.100.255.132:9100,1716813640.515,3.98913478202898
10.100.255.132:9100,1716813641.515,3.98913478202898
10.100.255.132:9100,1716813642.515,3.98913478202898
10.100.255.132:9100,1716813643.515,3.98913478202898
10.100.255.132:9100,1716813644.515,3.98913478202898
10.100.255.132:9100,1716813645.515,3.98913478202898
10.100.255.132:9100,1716813646.515,3.988666666666721
10.100.255.132:9100,1716813647.515,3.988666666666721
10.100.255.132:9100,1716813648.515,3.988666666666721
10.100.255.132:9100,1716813649.515,3.988666666666721
10.100.255.132:9100,1716813650.515,3.988666666666721
10.100.255.132:9100,1716813651.515,3.988666666666721
10.100.255.132:9100,1716813652.515,3.988666666666721
10.100.255.132:9100,1716813653.515,3.988666666666721
10.100.255.132:9100,1716813654.515,3.988666666666721
10.100.255.132:9100,1716813655.515,3.988666666666721
10.100.255.132:9100,1716813656.515,3.988666666666721
10.100.255.132:9100,1716813657.515,3.988666666666721
10.100.255.132:9100,1716813658.515,3.988666666666721
10.100.255.132:9100,1716813659.515,3.988666666666721
10.100.255.132:9100,1716813660.515,3.988666666666721
10.100.255.132:9100,1716813661.515,3.988666666666721
10.100.255.132:9100,1716813662.515,3.988666666666721
10.100.255.132:9100,1716813663.515,3.988666666666721
10.100.255.132:9100,1716813664.515,3.988666666666721
10.100.255.132:9100,1716813665.515,3.988666666666721
10.100.255.132:9100,1716813666.515,3.988666666666721
10.100.255.132:9100,1716813667.515,3.988666666666721
10.100.255.132:9100,1716813668.515,3.988666666666721
10.100.255.132:9100,1716813669.515,3.988666666666721
10.100.255.132:9100,1716813670.515,3.988666666666721
10.100.255.132:9100,1716813671.515,3.988666666666721
10.100.255.132:9100,1716813672.515,3.988666666666721
10.100.255.132:9100,1716813673.515,3.988666666666721
10.100.255.132:9100,1716813674.515,3.988666666666721
10.100.255.132:9100,1716813675.515,3.988666666666721
10.100.255.132:9100,1716813676.515,3.9855314041872316
10.100.255.132:9100,1716813677.515,3.9855314041872316
10.100.255.132:9100,1716813678.515,3.9855314041872316
10.100.255.132:9100,1716813679.515,3.9855314041872316
10.100.255.132:9100,1716813680.515,3.9855314041872316
10.100.255.132:9100,1716813681.515,3.9855314041872316
10.100.255.132:9100,1716813682.515,3.9855314041872316
10.100.255.132:9100,1716813683.515,3.9855314041872316
10.100.255.132:9100,1716813684.515,3.9855314041872316
10.100.255.132:9100,1716813685.515,3.9855314041872316
10.100.255.132:9100,1716813686.515,3.9855314041872316
10.100.255.132:9100,1716813687.515,3.9855314041872316
10.100.255.132:9100,1716813688.515,3.9855314041872316
10.100.255.132:9100,1716813689.515,3.9855314041872316
10.100.255.132:9100,1716813690.515,3.9855314041872316
10.100.255.132:9100,1716813691.515,3.9855314041872316
10.100.255.132:9100,1716813692.515,3.9855314041872316
10.100.255.132:9100,1716813693.515,3.9855314041872316
10.100.255.132:9100,1716813694.515,3.9855314041872316
10.100.255.132:9100,1716813695.515,3.9855314041872316
10.100.255.132:9100,1716813696.515,3.9855314041872316
10.100.255.132:9100,1716813697.515,3.9855314041872316
10.100.255.132:9100,1716813698.515,3.9855314041872316
10.100.255.132:9100,1716813699.515,3.9855314041872316
10.100.255.132:9100,1716813700.515,3.9855314041872316
10.100.255.132:9100,1716813701.515,3.9855314041872316
10.100.255.132:9100,1716813702.515,3.9855314041872316
10.100.255.132:9100,1716813703.515,3.9855314041872316
10.100.255.132:9100,1716813704.515,3.9855314041872316
10.100.255.132:9100,1716813705.515,3.9855314041872316
10.100.255.132:9100,1716813706.515,3.9870000000000037
10.100.255.132:9100,1716813707.515,3.9870000000000037
10.100.255.132:9100,1716813708.515,3.9870000000000037
10.100.255.132:9100,1716813709.515,3.9870000000000037
10.100.255.132:9100,1716813710.515,3.9870000000000037
10.100.255.132:9100,1716813711.515,3.9870000000000037
10.100.255.132:9100,1716813712.515,3.9870000000000037
10.100.255.132:9100,1716813713.515,3.9870000000000037
10.100.255.132:9100,1716813714.515,3.9870000000000037
10.100.255.132:9100,1716813715.515,3.9870000000000037
10.100.255.132:9100,1716813716.515,3.9870000000000037
10.100.255.132:9100,1716813717.515,3.9870000000000037
10.100.255.132:9100,1716813718.515,3.9870000000000037
10.100.255.132:9100,1716813719.515,3.9870000000000037
10.100.255.132:9100,1716813720.515,3.9870000000000037
10.100.255.132:9100,1716813721.515,3.9870000000000037
10.100.255.132:9100,1716813722.515,3.9870000000000037
10.100.255.132:9100,1716813723.515,3.9870000000000037
10.100.255.132:9100,1716813724.515,3.9870000000000037
10.100.255.132:9100,1716813725.515,3.9870000000000037
10.100.255.132:9100,1716813726.515,3.9870000000000037
10.100.255.132:9100,1716813727.515,3.9870000000000037
10.100.255.132:9100,1716813728.515,3.9870000000000037
10.100.255.132:9100,1716813729.515,3.9870000000000037
10.100.255.132:9100,1716813730.515,3.9870000000000037
10.100.255.132:9100,1716813731.515,3.9870000000000037
10.100.255.132:9100,1716813732.515,3.9870000000000037
10.100.255.132:9100,1716813733.515,3.9870000000000037
10.100.255.132:9100,1716813734.515,3.9870000000000037
10.100.255.132:9100,1716813735.515,3.9870000000000037
10.100.255.132:9100,1716813736.515,4.0022668177878735
10.100.255.132:9100,1716813737.515,4.0022668177878735
10.100.255.132:9100,1716813738.515,4.0022668177878735
10.100.255.132:9100,1716813739.515,4.0022668177878735
10.100.255.132:9100,1716813740.515,4.0022668177878735
10.100.255.132:9100,1716813741.515,4.0022668177878735
10.100.255.132:9100,1716813742.515,4.0022668177878735
10.100.255.132:9100,1716813743.515,4.0022668177878735
10.100.255.132:9100,1716813744.515,4.0022668177878735
10.100.255.132:9100,1716813745.515,4.0022668177878735
10.100.255.132:9100,1716813746.515,4.0022668177878735
10.100.255.132:9100,1716813747.515,4.0022668177878735
10.100.255.187:9100,1716813447.515,3.960270639602735
10.100.255.187:9100,1716813448.515,3.9587292062539468
10.100.255.187:9100,1716813449.515,3.9587292062539468
10.100.255.187:9100,1716813450.515,3.9587292062539468
10.100.255.187:9100,1716813451.515,3.9587292062539468
10.100.255.187:9100,1716813452.515,3.9587292062539468
10.100.255.187:9100,1716813453.515,3.9587292062539468
10.100.255.187:9100,1716813454.515,3.9587292062539468
10.100.255.187:9100,1716813455.515,3.9587292062539468
10.100.255.187:9100,1716813456.515,3.9587292062539468
10.100.255.187:9100,1716813457.515,3.9587292062539468
10.100.255.187:9100,1716813458.515,3.9587292062539468
10.100.255.187:9100,1716813459.515,3.9587292062539468
10.100.255.187:9100,1716813460.515,3.9587292062539468
10.100.255.187:9100,1716813461.515,3.9587292062539468
10.100.255.187:9100,1716813462.515,3.9587292062539468
10.100.255.187:9100,1716813463.515,3.9587292062539468
10.100.255.187:9100,1716813464.515,3.9587292062539468
10.100.255.187:9100,1716813465.515,3.9587292062539468
10.100.255.187:9100,1716813466.515,3.9587292062539468
10.100.255.187:9100,1716813467.515,3.9587292062539468
10.100.255.187:9100,1716813468.515,3.9587292062539468
10.100.255.187:9100,1716813469.515,3.9587292062539468
10.100.255.187:9100,1716813470.515,3.9587292062539468
10.100.255.187:9100,1716813471.515,3.9587292062539468
10.100.255.187:9100,1716813472.515,3.9587292062539468
10.100.255.187:9100,1716813473.515,3.9587292062539468
10.100.255.187:9100,1716813474.515,3.9587292062539468
10.100.255.187:9100,1716813475.515,3.9587292062539468
10.100.255.187:9100,1716813476.515,3.9587292062539468
10.100.255.187:9100,1716813477.515,3.9587292062539468
10.100.255.187:9100,1716813478.515,3.9643333333333355
10.100.255.187:9100,1716813479.515,3.9643333333333355
10.100.255.187:9100,1716813480.515,3.9643333333333355
10.100.255.187:9100,1716813481.515,3.9643333333333355
10.100.255.187:9100,1716813482.515,3.9643333333333355
10.100.255.187:9100,1716813483.515,3.9643333333333355
10.100.255.187:9100,1716813484.515,3.9643333333333355
10.100.255.187:9100,1716813485.515,3.9643333333333355
10.100.255.187:9100,1716813486.515,3.9643333333333355
10.100.255.187:9100,1716813487.515,3.9643333333333355
10.100.255.187:9100,1716813488.515,3.9643333333333355
10.100.255.187:9100,1716813489.515,3.9643333333333355
10.100.255.187:9100,1716813490.515,3.9643333333333355
10.100.255.187:9100,1716813491.515,3.9643333333333355
10.100.255.187:9100,1716813492.515,3.9643333333333355
10.100.255.187:9100,1716813493.515,3.9643333333333355
10.100.255.187:9100,1716813494.515,3.9643333333333355
10.100.255.187:9100,1716813495.515,3.9643333333333355
10.100.255.187:9100,1716813496.515,3.9643333333333355
10.100.255.187:9100,1716813497.515,3.9643333333333355
10.100.255.187:9100,1716813498.515,3.9643333333333355
10.100.255.187:9100,1716813499.515,3.9643333333333355
10.100.255.187:9100,1716813500.515,3.9643333333333355
10.100.255.187:9100,1716813501.515,3.9643333333333355
10.100.255.187:9100,1716813502.515,3.9643333333333355
10.100.255.187:9100,1716813503.515,3.9643333333333355
10.100.255.187:9100,1716813504.515,3.9643333333333355
10.100.255.187:9100,1716813505.515,3.9643333333333355
10.100.255.187:9100,1716813506.515,3.9643333333333355
10.100.255.187:9100,1716813507.515,3.9643333333333355
10.100.255.187:9100,1716813508.515,3.9586041395860487
10.100.255.187:9100,1716813509.515,3.9586041395860487
10.100.255.187:9100,1716813510.515,3.9586041395860487
10.100.255.187:9100,1716813511.515,3.9586041395860487
10.100.255.187:9100,1716813512.515,3.9586041395860487
10.100.255.187:9100,1716813513.515,3.9586041395860487
10.100.255.187:9100,1716813514.515,3.9586041395860487
10.100.255.187:9100,1716813515.515,3.9586041395860487
10.100.255.187:9100,1716813516.515,3.9586041395860487
10.100.255.187:9100,1716813517.515,3.9586041395860487
10.100.255.187:9100,1716813518.515,3.9586041395860487
10.100.255.187:9100,1716813519.515,3.9586041395860487
10.100.255.187:9100,1716813520.515,3.9586041395860487
10.100.255.187:9100,1716813521.515,3.9586041395860487
10.100.255.187:9100,1716813522.515,3.9586041395860487
10.100.255.187:9100,1716813523.515,3.9586041395860487
10.100.255.187:9100,1716813524.515,3.9586041395860487
10.100.255.187:9100,1716813525.515,3.9586041395860487
10.100.255.187:9100,1716813526.515,3.9586041395860487
10.100.255.187:9100,1716813527.515,3.9586041395860487
10.100.255.187:9100,1716813528.515,3.9586041395860487
10.100.255.187:9100,1716813529.515,3.9586041395860487
10.100.255.187:9100,1716813530.515,3.9586041395860487
10.100.255.187:9100,1716813531.515,3.9586041395860487
10.100.255.187:9100,1716813532.515,3.9586041395860487
10.100.255.187:9100,1716813533.515,3.9586041395860487
10.100.255.187:9100,1716813534.515,3.9586041395860487
10.100.255.187:9100,1716813535.515,3.9586041395860487
10.100.255.187:9100,1716813536.515,3.9586041395860487
10.100.255.187:9100,1716813537.515,3.9586041395860487
10.100.255.187:9100,1716813538.515,3.956062272893986
10.100.255.187:9100,1716813539.515,3.956062272893986
10.100.255.187:9100,1716813540.515,3.956062272893986
10.100.255.187:9100,1716813541.515,3.956062272893986
10.100.255.187:9100,1716813542.515,3.956062272893986
10.100.255.187:9100,1716813543.515,3.956062272893986
10.100.255.187:9100,1716813544.515,3.956062272893986
10.100.255.187:9100,1716813545.515,3.956062272893986
10.100.255.187:9100,1716813546.515,3.956062272893986
10.100.255.187:9100,1716813547.515,3.956062272893986
10.100.255.187:9100,1716813548.515,3.956062272893986
10.100.255.187:9100,1716813549.515,3.956062272893986
10.100.255.187:9100,1716813550.515,3.956062272893986
10.100.255.187:9100,1716813551.515,3.956062272893986
10.100.255.187:9100,1716813552.515,3.956062272893986
10.100.255.187:9100,1716813553.515,3.956062272893986
10.100.255.187:9100,1716813554.515,3.956062272893986
10.100.255.187:9100,1716813555.515,3.956062272893986
10.100.255.187:9100,1716813556.515,3.956062272893986
10.100.255.187:9100,1716813557.515,3.956062272893986
10.100.255.187:9100,1716813558.515,3.956062272893986
10.100.255.187:9100,1716813559.515,3.956062272893986
10.100.255.187:9100,1716813560.515,3.956062272893986
10.100.255.187:9100,1716813561.515,3.956062272893986
10.100.255.187:9100,1716813562.515,3.956062272893986
10.100.255.187:9100,1716813563.515,3.956062272893986
10.100.255.187:9100,1716813564.515,3.956062272893986
10.100.255.187:9100,1716813565.515,3.956062272893986
10.100.255.187:9100,1716813566.515,3.956062272893986
10.100.255.187:9100,1716813567.515,3.956062272893986
10.100.255.187:9100,1716813568.515,3.9599373395993673
10.100.255.187:9100,1716813569.515,3.9599373395993673
10.100.255.187:9100,1716813570.515,3.9599373395993673
10.100.255.187:9100,1716813571.515,3.9599373395993673
10.100.255.187:9100,1716813572.515,3.9599373395993673
10.100.255.187:9100,1716813573.515,3.9599373395993673
10.100.255.187:9100,1716813574.515,3.9599373395993673
10.100.255.187:9100,1716813575.515,3.9599373395993673
10.100.255.187:9100,1716813576.515,3.9599373395993673
10.100.255.187:9100,1716813577.515,3.9599373395993673
10.100.255.187:9100,1716813578.515,3.9599373395993673
10.100.255.187:9100,1716813579.515,3.9599373395993673
10.100.255.187:9100,1716813580.515,3.9599373395993673
10.100.255.187:9100,1716813581.515,3.9599373395993673
10.100.255.187:9100,1716813582.515,3.9599373395993673
10.100.255.187:9100,1716813583.515,3.9599373395993673
10.100.255.187:9100,1716813584.515,3.9599373395993673
10.100.255.187:9100,1716813585.515,3.9599373395993673
10.100.255.187:9100,1716813586.515,3.9599373395993673
10.100.255.187:9100,1716813587.515,3.9599373395993673
10.100.255.187:9100,1716813588.515,3.9599373395993673
10.100.255.187:9100,1716813589.515,3.9599373395993673
10.100.255.187:9100,1716813590.515,3.9599373395993673
10.100.255.187:9100,1716813591.515,3.9599373395993673
10.100.255.187:9100,1716813592.515,3.9599373395993673
10.100.255.187:9100,1716813593.515,3.9599373395993673
10.100.255.187:9100,1716813594.515,3.9599373395993673
10.100.255.187:9100,1716813595.515,3.9599373395993673
10.100.255.187:9100,1716813596.515,3.9599373395993673
